סמל ישוב,שם ישוב
967,אבו ג'וועיד (שבט)
473,אבו סנאן
935,אבו סריחאן (שבט)
958,אבו עבדון (שבט)
1042,אבו עמאר (שבט)
932,אבו עמרה (שבט)
968,אבו קורינאת (שבט)
1342,אבו קרינאת (יישוב)
966,אבו רובייעה (שבט)
961,אבו רוקייק (שבט)
1375,אבו תלול
1275,אבטליון
1115,אביבים
2052,אביטל
1220,אבירים
1081,אבן מנחם
4011,אבני איתן
3793,אבני חפץ
3786,אבנת
1311,אבשלום
3759,אדורה
113,אדירים
1068,אדמית
4010,אודם
1046,אוהד
1358,אום בטין
1108,אומן
31,אופקים
1294,אור הגנוז
67,אור הנר
4013,אורטל
403,אורים
1330,אחוזת ברק
785,אחיהוד
965,אטרש (שבט)
338,איבים
77,איילת השחר
294,אילון
1126,אילות
49,אילניה
2600,אילת
3762,איתמר
478,אכסאל
4003,אל-רום
1359,אל סייד
330,אלומות
1182,אלון הגליל
3579,אלון מורה
429,אלוני אבא
4017,אלוני הבשן
285,אלונים
1365,אליאב
4002,אלי-עד
1248,אליפז
730,אליפלט
682,אליקים
1125,אלמגור
3556,אלמוג
603,אלקוש
1064,אמירים
1253,אמנון
23,אמציה (כרמי קטיף)
4012,אניעם
960,אסד (שבט)
3754,אספר
529,אעבלין
963,אעצם (שבט)
959,אפיניש (שבט)
4301,אפיק
176,אפיקים
313,אפק
701,ארבל
3598,ארגמן
714,ארז
3570,אריאל
71,אשבול
1276,אשבל
199,אשדות יעקב (איחוד)
188,אשדות יעקב (מאוחד)
1188,אשחר
3722,אשכולות
2021,אשל הנשיא
1152,אשלים
1256,אשרת
21,באר אורה
1376,באר גנים
1278,באר מילכה
9000,באר שבע
399,בארי
559,בוסתן הגליל
482,בועיינה-נוג'ידאת
4001,בוקעאתא
762,בטחה
998,ביר אל-מכסור
1348,ביר הדאג'
368,ביריה
3574,בית אל
95,בית אלפא
480,בית ג'ן
723,בית הגדי
322,בית הלל
572,בית העמק
3645,בית הערבה
242,בית השיטה
353,בית זיד
143,בית זרע
265,בית יוסף
430,בית לחם הגלילית
598,בית קמה
365,בית קשת
1162,בית רימון
9200,בית שאן
248,בית שערים
94,בלפוריה
712,בן עמי
1368,בני דקלים
4015,בני יהודה
1363,בני נצרים
944,בסמת טבעון
483,בענה
589,בצת
3612,בקעות
1191,בר יוחאי
3744,ברוכין
428,ברור חיל
2060,ברוש
3710,ברכה
667,ברעם
141,ברק
3794,בת עין
1292,ג'דיידה-מכר
485,ג'ולס
976,ג'נאביב (שבט)
487,ג'ש (גוש חלב)
352,גבולות
424,גבים
86,גבע
3763,גבע בנימין
2014,גבעולים
...,גבעות (אלון שבות)
1344,גבעות בר
1293,גבעת אבני
1288,גבעת אלה
4021,גבעת יואב
703,גבעת עוז
342,גברעם
133,גבת
35,גדות
145,גדיש
442,גדעונה
852,גונן
755,גורן
1219,גורנות הגליל
457,גזית
1204,גילון
736,גילת
262,גינוסר
92,גיניגר
1206,גיתה
3613,גיתית
3606,גלגל
369,גלעד (אבן יצחק)
1274,גן נר
1371,גני טל
463,געתון
1129,גרופית
4022,גשור
305,גשר
574,גשר הזיו
146,דבורה
489,דבוריה
849,דבירה
407,דברת
62,דגניה א'
79,דגניה ב'
1067,"דוב""ב"
3747,דולב
336,דורות
475,דחי
490,דייר אל-אסד
492,דייר חנא
2200,דימונה
2063,דישון
300,דליה
431,דלתון
1317,דמיידה
303,דן
302,דפנה
1241,דקל
1349,דריג'את
702,האון
356,הגושרים
1322,הודיות
1169,הוואשלה (שבט)
956,הוזייל (שבט)
1186,הושעיה
250,הזורע
307,הזורעים
684,היוגב
1208,הילה
677,הסוללים
1261,הר עמשא
1249,הרדוף
1203,הררית
3639,ורד יריחו
2742,זבארגה (שבט)
584,זיקים
1065,זמרת
2064,זרועה
975,זרזיר
986,ח'ואלד (שבט)
1110,חבר
3400,חברון
3764,חגי
4026,חד-נס
948,חוג'ייראת (ד'הרה)
1239,חולית
253,חולתה
662,חוסן
1332,חוסנייה
374,חוקוק
1303,חורה
496,חורפיש
1047,חזון
1272,חלוץ
3573,חלמיש
993,חמאם
343,חמדיה
3646,חמדת
3609,חמרה
280,חניתה
1257,חנתון
4005,חספין
90,חפצי-בה
13,חצבה
2034,חצור הגלילית
397,חצרים
3717,חרמש
1209,חרשים
6700,טבריה
962,טובא-זנגריה
498,טורעאן
497,טייבה (בעמק)
268,טירת צבי
1181,טל-אל
1177,טללים
3788,טלמון
8900,טמרה
547,טמרה (יזרעאל)
3743,טנא
1214,טפחות
1295,יאנוח-ג'ת
1232,יבול
46,יבנאל
358,יד מרדכי
1158,יהל
2009,יובל
1226,יובלים
1112,יודפת
4007,יונתן
803,יושיביה
452,יזרעאל
409,יחיעם
866,יטבתה
3607,"ייט""ב"
811,יכיני
29,יסוד המעלה
575,יסעור
1138,יעד
1117,יעל
795,יערה
499,יפיע
3566,יפית
134,יפעת
453,יפתח
3749,יצהר
3647,יקיר
241,יקנעם (מושבה)
240,יקנעם עילית
623,יראון
2026,ירדנה
831,ירוחם
502,ירכא
916,ישע
1227,יתד
504,כאבול
505,כאוכב אבו אל-היג'א
576,כברי
371,כדורי
1338,כדיתה
3564,כוכב השחר
3779,כוכב יעקב
1252,כורזים
1210,כחל
1367,כחלה
840,כיסופים
1153,כישור
1183,כליל
1229,כלנית
1331,כמאנה
1291,כמהין
1201,כמון
4028,כנף
63,כנרת (מושבה)
57,כנרת (קבוצה)
1059,כסיפה
1296,כסרא-סמיע
978,כעביה-טבאש-חג'אג'רה
357,כפר בלום
132,כפר ברוך
106,כפר גדעון
76,כפר גלעדי
192,כפר החורש
443,כפר הנשיא
1263,כפר ורדים
786,כפר זיתים
609,כפר חושן
255,כפר חיטים
1297,כפר חנניה
4004,כפר חרוב
507,כפר יאסיף
140,כפר יהושע
85,כפר יחזקאל
508,כפר כמא
509,כפר כנא
1095,כפר מימון
510,כפר מנדא
297,כפר מסריק
512,כפר מצר
345,כפר סאלד
845,כפר עזה
388,כפר קיש
579,כפר ראש הנקרה
1130,כפר רוזנואלד (זרעית)
295,כפר רופין
605,כפר שמאי
47,כפר תבור
3572,כפר תפוח
1285,כרכום
664,כרם בן זמרה
1085,כרם שלום
3766,כרמי צור
1139,כרמיאל
768,כרמיה
1198,כרמים
3656,כרמל
1207,לבון
585,לביא
1230,לבנים
2023,להב
380,להבות הבשן
1271,להבים
595,לוחמי הגיטאות
1171,לוטם
1255,לוטן
674,לימן
1173,לפידות
1060,לקיה
3569,מבוא דותן
4204,מבוא חמה
1080,מבועים
829,מבטחים
516,מג'ד אל-כרום
4201,מג'דל שמס
481,מגאר
65,מגדל
874,מגדל העמק
3561,מגדל עוז
3751,מגדלים
586,מגידו
695,מגן
1155,מגן שאול
2029,מדרך עוז
1140,מדרשת בן גוריון
1360,מולדה
269,מולדת
635,מוקייבלה
1163,מורן
1178,מורשת
104,מזרע
517,מזרעה
3599,מחולה
1418,מחנה טלי
1413,מחנה יהודית
1416,מחנה יוכבד
1415,מחנה יפה
1196,מחנה יתיר
1417,מחנה עדי
308,מחניים
43,מטולה
2054,מיטב
4019,מיצר
1282,מירב
607,מירון
1268,מיתר
3614,מכורה
1343,מכחול
1202,מכמנים
164,מלאה
2044,מלילות
596,מלכיה
1154,מלכישוע
1174,מנוף
1205,מנות
48,מנחמיה
347,מנרה
994,מנשית זבדה
1258,מסד
263,מסדה
298,מסילות
748,מסלול
4203,מסעדה
939,מסעודין אל-עזאזמה
1082,מעגלים
678,מעגן
272,מעוז חיים
3657,מעון
570,מעונה
518,מעיליא
416,מעין ברוך
3608,מעלה אפרים
1127,מעלה גלבוע
4008,מעלה גמלא
3752,מעלה לבונה
3651,מעלה מכמש
3653,מעלה עמוס
3637,מעלה שומרון
1063,מעלות-תרשיחא
668,מפלסים
325,מצובה
58,מצפה
1222,"מצפה אבי""ב"
1370,מצפה אילן
3576,מצפה יריחו
1190,מצפה נטופה
99,מצפה רמון
3610,מצפה שלם
843,מרגליות
4101,מרום גולן
1340,מרחב עם
97,מרחביה (מושב)
66,מרחביה (קיבוץ)
421,משאבי שדה
378,משגב עם
520,משהד
3605,משואה
3785,משכיות
732,משמר הירדן
395,משמר הנגב
130,משמר העמק
1184,מתת
4551,נאות גולן
1124,נאות הכיכר
408,נאות מרדכי
1197,נאות סמדר
524,נאעורה
396,נבטים
3724,נגוהות
80,נהלל
9100,נהריה
4304,נוב
1366,נווה
590,נווה אור
4303,"נווה אטי""ב"
296,נווה איתן
1057,נווה זוהר
1314,נווה זיו
1279,נווה חריף
3790,נופים
3726,נוקדים
833,נורית
844,נחל עוז
3767,נחליאל
522,נחף
1147,נטועה
4014,נטור
1369,נטע
523,ניין
3655,"ניל""י"
1419,ניצן ב'
1195,ניצנה (קהילת חינוך)
1280,ניצני סיני
256,ניר דוד (תל עמל)
165,ניר יפה
402,ניר יצחק
2047,ניר משה
69,ניר עוז
348,ניר עם
2048,ניר עקיבא
602,נירים
3620,נירן
1143,נס עמים
3787,נעלה
3713,"נעמ""ה"
1041,נצאצרה (שבט)
1372,נצר חזני
7300,נצרת
1061,נצרת עילית
3555,נתיב הגדוד
1242,נתיב העשרה
792,נתיב השיירה
246,נתיבות
525,סאג'ור
578,סאסא
942,סואעד (חמרייה)
989,סואעד (כמאנה) (שבט)
526,סולם
3756,סוסיה
1238,סופה
7500,סח'נין
1170,סייד (שבט)
1245,סלמה
1156,סמר
1328,סנסנה
419,סעד
454,סער
1176,ספיר
4501,ע'ג'ר
892,עבדון
376,עברון
1199,עדי
528,עוזייר
666,עומר
3617,עופרה
957,עוקבי (בנו עוקבה)
328,עזוז
969,עטאוונה (שבט)
3658,עטרת
1175,עידן
530,עיילבון
511,עילוט
546,עין אל-אסד
273,עין גב
2042,עין גדי
436,עין דור
1240,עין הבשור
289,עין המפרץ
383,"עין הנצי""ב"
367,עין העמק
270,עין השופט
676,עין השלושה
4503,עין זיוון
1053,עין חצבה
89,עין חרוד (איחוד)
82,עין חרוד (מאוחד)
806,עין יהב
813,עין יעקב
532,עין מאהל
4502,עין קנייא
1251,עין תמר
1187,עיר אובות
7600,עכו
1146,עלומים
3765,עלי
3727,עלי זהב
688,עלמה
1212,עמוקה
385,עמיעד
318,עמיעוז
319,עמיר
3660,עמנואל
708,עמקה
3712,ענב
7700,עפולה
917,עצמון שגב
531,עראבה
1246,עראמשה
1335,ערב אל נעים
2560,ערד
1192,ערערה-בנגב
3748,עתניאל
1151,פארן
3768,פדואל
750,פדויים
1104,פוריה – כפר עבודה
1105,פוריה – נווה עובד
1313,פוריה עילית
749,פטיש
1185,פלך
3723,פני חבר
3659,פסגות
535,פסוטה
2059,"פעמי תש""ז"
3615,פצאל
536,פקיעין (בוקייעה)
281,פקיעין חדשה
599,פרוד
2053,פרזון
1231,פרי גן
413,צאלים
1180,צביה
1213,צבעון
1136,צוחר
1150,צופר
1262,צוקים
774,צוריאל
1221,צורית
613,ציפורי
636,צנדלה
8000,צפת
1234,קבועה (שבט)
3557,קדומים
4025,קדמת צבי
1211,קדרים
964,קודייראת א-צאנע(שבט)
972,קוואעין (שבט)
1179,קורנית
1052,קטורה
414,קלחים
3601,קליה
4024,קלע
1347,קצר א-סר
4100,קצרין
3611,קרית ארבע
3746,קרית נטפים
2800,קרית שמונה
3640,קרני שומרון
4006,קשת
543,ראמה
1334,ראס אל-עין
26,ראש פינה
3795,רבבה
354,רביבים
1225,רביד
390,רגבה
1161,רהט
2016,רוויה
362,רוחמה
539,רומאנה
997,רומת הייב
3619,רועי
3782,רותם
854,רחוב
3777,רחלים
540,ריחאניה
542,ריינה
3565,רימונים
1069,רם-און
4702,רמות
445,רמות מנשה
372,רמות נפתלי
135,רמת דוד
335,רמת השופט
122,רמת ישי
4701,רמת מגשימים
339,רמת צבי
789,רנן
713,רעים
1228,רקפת
437,רשפים
1260,רתמים
324,שאר ישוב
282,שבי ציון
3571,שבי שומרון
913,שבלי – אום אל-גנם
1286,שגב-שלום
721,שדה אילן
304,שדה אליהו
861,שדה אליעזר
885,שדה בוקר
142,שדה יעקב
259,שדה נחום
329,שדה נחמיה
1058,שדה ניצן
2049,שדה צבי
1223,שדי אברהם
2057,שדי תרומות
306,שדמות דבורה
3578,שדמות מחולה
1031,שדרות
761,שובה
394,שובל
614,שומרה
415,שוקדה
1235,שורשים
527,שזור
1266,שחרות
865,שיבולים
1267,שיטים
658,שייח' דנון
3641,שילה
1160,שכניה
1373,שלווה במדבר
439,שלוחות
812,שלומי
1364,שלומית
366,שמיר
3784,שמעה
432,שמרת
1337,שמשית
1287,שני
1132,שניר
538,שעב
4009,שעל
264,שער הגולן
846,שפר
8800,שפרעם
292,שרונה
126,שריד
398,שרשרת
1045,שתולה
2062,תאשור
2061,תדהר
1172,תובל
3558,תומר
1083,תושיה
84,תל יוסף
103,תל עדשים
719,תל קציר
1054,תל שבע
1283,תל תאומים
3719,תלם
1051,תלמי אליהו
2050,"תלמי ביל""ו"
1237,תלמי יוסף
1244,תמרת
709,תפרח
665,תקומה
3563,תקוע
970,תראבין א-צאנע (שבט)
1346,תראבין א-צאנע(ישוב)
