נושא,מספר תקנה,משרד,סוג תמיכה,מקבל התמיכה,מספר תאגיד,שנה,סה״כ אושר,סה״כ שולם
ארכיונים,0019420260,משרד התרבות והספורט,א3,יד חיים ויצמן (חל״צ),510143423,2021,465413.0,107716.0
ארכיונים,0019420260,משרד התרבות והספורט,א3,חבצלת מוסדות תרבות וחנוך של השומר הצעיר (חל״צ),510490451,2021,1178001.0,576364.0
ארכיונים,0019420260,משרד התרבות והספורט,א3,הארכיון המרכזי לתולדות העם היהודי (חל״צ),510525934,2021,2841132.0,1437449.0
ארכיונים,0019420260,משרד התרבות והספורט,א3,"הארכיון והמוזיאון (פרטי) לתיאטרון ע""ש ישראל י. גור (ע""ר)",580005569,2021,296617.0,96468.0
ארכיונים,0019420260,משרד התרבות והספורט,א3,"יד טבנקין (ע""ר)",580009306,2021,2057089.0,438869.0
ארכיונים,0019420260,משרד התרבות והספורט,א3,"אגודת הסופרים העבריים במדינת ישראל (ע""ר)",580013860,2021,517062.0,150382.0
ארכיונים,0019420260,משרד התרבות והספורט,א3,"מכון ז'בוטינסקי בישראל (ע""ר)",580028736,2021,2260153.0,541140.0
ארכיונים,0019420260,משרד התרבות והספורט,א3,"""משואה"" יד לחברי תנועות הנוער הציונית בשואה ובמרי",580038784,2021,1922300.0,364746.0
ארכיונים,0019420260,משרד התרבות והספורט,א3,"גנזך קידוש השם מכון לתיעוד, מחקר והנצחה (ע""ר)",580067122,2021,2746679.0,1191789.0
ארכיונים,0019420260,משרד התרבות והספורט,א3,"מכון שואה ואמונה - שם עולם, לעיון, תעוד ומחקר (ע""ר)",580331833,2021,,
ארכיונים,0019420260,משרד התרבות והספורט,א3,"מכון שיטים (ע""ר)",580459212,2021,372554.0,372554.0
בתי ספר לאומנות -  תמיכה,0019420236,משרד התרבות והספורט,א3,מרכז תרבות במצפה רמון עש סמואל רובין בע״מ (חל״צ),510623648,2021,,
בתי ספר לאומנות -  תמיכה,0019420236,משרד התרבות והספורט,א3,מנשר - לאמנות בע״מ (חל״צ),513720755,2021,2307066.0,904215.0
בתי ספר לאומנות -  תמיכה,0019420236,משרד התרבות והספורט,א3,"""בית צבי"" ביה""ס לאמנויות הבמה (ע""ר)",580042901,2021,2437275.0,813229.0
בתי ספר לאומנות -  תמיכה,0019420236,משרד התרבות והספורט,א3,רימון בית ספר למוסיקה (ע''ר),580085371,2021,708311.0,205996.0
בתי ספר לאומנות -  תמיכה,0019420236,משרד התרבות והספורט,א3,"סטודיו למשחק - עמותה לטפוח אמנות הבמה (ע""ר)",580101152,2021,2879482.0,950674.0
בתי ספר לאומנות -  תמיכה,0019420236,משרד התרבות והספורט,א3,"המרכז למוסיקה מן המזרח (ע""ר)",580139061,2021,575963.0,89984.0
בתי ספר לאומנות -  תמיכה,0019420236,משרד התרבות והספורט,א3,"מכוני השכלה, תרבות ואומנויות - תל חי בגליל הגליון (ע""ר)",580145696,2021,808336.0,270704.0
בתי ספר לאומנות -  תמיכה,0019420236,משרד התרבות והספורט,א3,"מוסררה בית הספר לאמנות וחברה - ירושלים (ע""ר)",580150761,2021,1908604.0,737724.0
בתי ספר לאומנות -  תמיכה,0019420236,משרד התרבות והספורט,א3,"ביה""ס סם שפיגל לקולנוע ולטלוויזיה - ירושלים (ע""ר)",580162220,2021,2570659.0,782909.0
בתי ספר לאומנות -  תמיכה,0019420236,משרד התרבות והספורט,א3,"מעלה בית הספר לקולנוע ולטלוויזיה ע""ש אורי אליצור (ע""ר)",580201309,2021,1651151.0,528776.0
בתי ספר לאומנות -  תמיכה,0019420236,משרד התרבות והספורט,א3,"סל""ה - סטודיו לאמנויות התיאטרון - מיסודו של יורם לוינשטיין (ע""ר)",580234524,2021,1698925.0,526990.0
בתי ספר לאומנות -  תמיכה,0019420236,משרד התרבות והספורט,א3,"המכללה האקדמית ספיר (ע""ר)",580322451,2021,,
בתי ספר לאומנות -  תמיכה,0019420236,משרד התרבות והספורט,א3,"קולנוע יהודי תורת החיים (ע""ר)",580347086,2021,924795.0,258107.0
בתי ספר לאומנות -  תמיכה,0019420236,משרד התרבות והספורט,א3,"ביה""ס לתיאטרון חזותי ירושלים (ע""ר)",580352482,2021,1734775.0,572899.0
בתי ספר לאומנות -  תמיכה,0019420236,משרד התרבות והספורט,א3,"עמותה לקידום ופיתוח תיאטרון בובות בישראל (ע""ר)",580408896,2021,123112.0,43109.0
בתי ספר לאומנות -  תמיכה,0019420236,משרד התרבות והספורט,א3,"יתרת (ע""ר)",580415446,2021,277504.0,106231.0
בתי ספר לאומנות -  תמיכה,0019420236,משרד התרבות והספורט,א3,"גודמן - בית ספר למשחק בנגב (ע""ר)",580450823,2021,1771079.0,637734.0
בתי ספר לאומנות -  תמיכה,0019420236,משרד התרבות והספורט,א3,"בית 9 - בית ספר ובית יוצר לתיאטרון בובות בגליל (ע""ר)",580490811,2021,68163.0,26610.0
בתי ספר לאומנות -  תמיכה,0019420236,משרד התרבות והספורט,א3,"מקום לשירה (ע""ר)",580537041,2021,268639.0,129619.0
בתי ספר לאומנות -  תמיכה,0019420236,משרד התרבות והספורט,א3,"אימפרו - הסטודיו למשחק בקולנוע טלוויזיה ותיאטרון (ע""ר)",580546067,2021,285569.0,108839.0
בתי ספר לאומנות -  תמיכה,0019420236,משרד התרבות והספורט,א3,"מינהל קהילתי רוממה (ע""ר)",580587988,2021,506695.0,506695.0
בתי ספר לאומנות -  תמיכה,0019420236,משרד התרבות והספורט,א3,"כלים - גוף לעבודה כוריאוגרפית (ע""ר)",580603546,2021,76952.0,76952.0
זכויות יוצרים לקלטות -  תמיכה,0019420240,משרד התרבות והספורט,א3,הפדרציה הישראלית לתקליטים וקלטות בע״מ,511355331,2021,350000.0,
