סמל ישוב,שם ישוב
1115,אביבים
1220,אבירים
1081,אבן מנחם
4011,אבני איתן
3793,אבני חפץ
3786,אבנת
1311,אבשלום
3759,אדורה
1068,אדמית
4010,אודם
1294,אור הגנוז
67,אור הנר
4013,אורטל
338,איבים
294,אילון
1126,אילות
2600,אילת
3762,איתמר
4003,אל-רום
330,אלומות
3579,אלון מורה
4017,אלוני הבשן
4002,אלי-עד
1248,אליפז
3556,אלמוג
603,אלקוש
3754,אספר
4301,אפיק
176,אפיקים
3598,ארגמן
714,ארז
3570,אריאל
199,אשדות יעקב (איחוד)
188,אשדות יעקב (מאוחד)
3722,אשכולות
21,באר אורה
1278,באר מילכה
399,בארי
4001,בוקעאתא
3574,בית אל
480,בית ג'ן
322,בית הלל
3645,בית הערבה
143,בית זרע
265,בית יוסף
9200,בית שאן
712,בן עמי
1363,בני נצרים
589,בצת
3612,בקעות
1191,בר יוחאי
3744,ברוכין
3710,ברכה
667,ברעם
3794,בת עין
487,ג'ש (גוש חלב)
424,גבים
3763,גבע בנימין
...,גבעות (אלון שבות)
342,גברעם
755,גורן
1219,גורנות הגליל
3613,גיתית
3606,גלגל
463,געתון
1129,גרופית
305,גשר
574,גשר הזיו
62,דגניה א'
79,דגניה ב'
1067,"דוב""ב"
3747,דולב
2063,דישון
431,דלתון
303,דן
302,דפנה
1241,דקל
702,האון
356,הגושרים
1208,הילה
3639,ורד יריחו
584,זיקים
1065,זמרת
3400,חברון
3764,חגי
1239,חולית
662,חוסן
496,חורפיש
3573,חלמיש
343,חמדיה
3646,חמדת
3609,חמרה
280,חניתה
4005,חספין
13,חצבה
3717,חרמש
268,טירת צבי
3788,טלמון
3743,טנא
1232,יבול
358,יד מרדכי
1158,יהל
2009,יובל
4007,יונתן
866,יטבתה
3607,"ייט""ב"
811,יכיני
29,יסוד המעלה
795,יערה
3566,יפית
453,יפתח
3749,יצהר
3647,יקיר
623,יראון
2026,ירדנה
916,ישע
1227,יתד
576,כברי
3564,כוכב השחר
3779,כוכב יעקב
840,כיסופים
1291,כמהין
63,כנרת (מושבה)
57,כנרת (קבוצה)
1296,כסרא-סמיע
357,כפר בלום
76,כפר גלעדי
609,כפר חושן
4004,כפר חרוב
1095,כפר מימון
345,כפר סאלד
845,כפר עזה
579,כפר ראש הנקרה
1130,כפר רוזנואלד (זרעית)
295,כפר רופין
3572,כפר תפוח
664,כרם בן זמרה
1085,כרם שלום
3766,כרמי צור
768,כרמיה
3656,כרמל
1255,לוטן
674,לימן
3569,מבוא דותן
4204,מבוא חמה
829,מבטחים
4201,מג'דל שמס
3561,מגדל עוז
3751,מגדלים
695,מגן
3599,מחולה
43,מטולה
4019,מיצר
607,מירון
3614,מכורה
596,מלכיה
1205,מנות
48,מנחמיה
347,מנרה
263,מסדה
4203,מסעדה
678,מעגן
272,מעוז חיים
3657,מעון
570,מעונה
518,מעיליא
416,מעין ברוך
3608,מעלה אפרים
3752,מעלה לבונה
3651,מעלה מכמש
3653,מעלה עמוס
3637,מעלה שומרון
1063,מעלות-תרשיחא
668,מפלסים
325,מצובה
3576,מצפה יריחו
3610,מצפה שלם
843,מרגליות
4101,מרום גולן
378,משגב עם
3605,משואה
3785,משכיות
1184,מתת
4551,נאות גולן
1124,נאות הכיכר
408,נאות מרדכי
3724,נגוהות
9100,נהריה
4304,נוב
1366,נווה
590,נווה אור
4303,"נווה אטי""ב"
296,נווה איתן
1314,נווה זיו
1279,נווה חריף
3790,נופים
3726,נוקדים
844,נחל עוז
3767,נחליאל
1147,נטועה
3655,"ניל""י"
1195,ניצנה (קהילת חינוך)
1280,ניצני סיני
402,ניר יצחק
69,ניר עוז
348,ניר עם
602,נירים
3620,נירן
3787,נעלה
3713,"נעמ""ה"
3555,נתיב הגדוד
1242,נתיב העשרה
578,סאסא
3756,סוסיה
1238,סופה
1156,סמר
419,סעד
454,סער
1176,ספיר
4501,ע'ג'ר
892,עבדון
3617,עופרה
328,עזוז
3658,עטרת
1175,עידן
1240,עין הבשור
383,"עין הנצי""ב"
676,עין השלושה
4503,עין זיוון
1053,עין חצבה
806,עין יהב
813,עין יעקב
4502,עין קנייא
1251,עין תמר
1187,עיר אובות
1146,עלומים
3765,עלי
3727,עלי זהב
688,עלמה
318,עמיעוז
319,עמיר
3660,עמנואל
3712,ענב
1246,עראמשה
3748,עתניאל
1151,פארן
3768,פדואל
3723,פני חבר
3659,פסגות
535,פסוטה
3615,פצאל
536,פקיעין (בוקייעה)
281,פקיעין חדשה
1231,פרי גן
1213,צבעון
1150,צופר
1262,צוקים
774,צוריאל
3557,קדומים
1052,קטורה
3601,קליה
3611,קרית ארבע
3746,קרית נטפים
2800,קרית שמונה
3640,קרני שומרון
4006,קשת
3795,רבבה
3619,רועי
3782,רותם
854,רחוב
3777,רחלים
540,ריחאניה
3565,רימונים
372,רמות נפתלי
4701,רמת מגשימים
713,רעים
324,שאר ישוב
3571,שבי שומרון
304,שדה אליהו
861,שדה אליעזר
259,שדה נחום
329,שדה נחמיה
1223,שדי אברהם
2057,שדי תרומות
3578,שדמות מחולה
1031,שדרות
761,שובה
614,שומרה
415,שוקדה
3641,שילה
812,שלומי
1364,שלומית
366,שמיר
3784,שמעה
1132,שניר
264,שער הגולן
1045,שתולה
3558,תומר
1083,תושיה
719,תל קציר
1283,תל תאומים
3719,תלם
1237,תלמי יוסף
665,תקומה
3563,תקוע
