cbs_id,cbs_name,edu_id,edu_name,tax_id,tax_name
0472,אבו גוש,4721,אבו גוש,500204722,מ. מ. אבו גוש
0473,אבו סנאן,4739,אבו סנאן,500204730,מ. מ. אבו סנאן
0182,אבן יהודה,1826,אבן יהודה,500201827,מ. מ. אבן יהודה
2710,אום אל-פחם,27102,אום אל-פחם,500227103,עירית אום-אל-פחם
0031,אופקים,315,אופקים,500200316,עירית אופקים
2400,אור יהודה,24000,אור יהודה,500224001,עירית אור יהודה
1020,אור עקיבא,10207,אור עקיבא,500210208,עירית אור עקיבא
3760,אורנית,37606,אורנית,500237607,מ. מ. אורנית
0565,אזור,5652,אזור,500205653,מ. מ. אזור
2600,אילת,26005,אילת,500226006,עירית אילת
0478,אכסאל,4788,אכסאל,500204789,מ. מ. איכסאל
65,אל-בטוף,6500000,אל בטוף,500225651,מ. א. אל-בטוף
69,אל קסום,6900000,אל קסום,500262696,מ .א. אל קסום
45,אלונה,4500000,אלונה,500232459,מ. א. אלונה
0041,אליכין,414,אליכין,500200415,מ. מ. אליכין
1309,אלעד,13094,אלעד,500213095,עיריית אלעד
3750,אלפי מנשה,37507,אלפי מנשה,500237508,מ. מ. אלפי מנשה
3560,אלקנה,35600,אלקנה,500235601,מ. מ. אלקנה
0529,אעבלין,5298,אעבלין,500205299,מ. מ. איעבלין
3650,אפרת,36509,אפרת,500236500,מ. מ. אפרתה
3570,אריאל,35709,אריאל,500235700,עירית אריאל
0070,אשדוד,703,אשדוד,500200704,עירית אשדוד
38,אשכול,3800000,אשכול,500262381,מ. א. אשכול
7100,אשקלון,71001,אשקלון,500271002,עירית אשקלון
6000,באקה אל-גרביה,60004,באקה אל-גרביה,500260005,מ. מ. באקה אל-גרבייה
33,באר טוביה,3300000,באר טוביה,500261334,מ. א. באר-טוביה
2530,באר יעקב,25304,באר יעקב,500225305,מ. מ. באר יעקב
9000,באר שבע,90001,באר שבע,500290002,עירית באר שבע
66,בוסתן אל-מרג',6600000,בוסתאן אל מרג,500225669,מ. א. בוסתאן אל-מרג'
0482,בועיינה-נוג'ידאת,4820,בעיינה-נג'יידאת,500204821,מ. מ. בועיינה-נוג'יידאת
4001,בוקעאתא,40014,בוקעאתה,500240015,מ. מ. בוקעאתא
0998,ביר אל-מכסור,9985,ביר אל-מכסור,500209986,מ. מ. ביר אל-מכסור
3574,בית אל,35741,בית אל,500235742,מ. מ. בית אל
3652,בית אריה-עופרים,36525,בית אריה,500236526,מ. מ. בית אריה
0480,בית ג'ן,4804,בית ג'ן,500204805,מ. מ. בית-ג'ן
0466,בית דגן,4663,בית דגן,500204664,מ. מ. בית דגן
9200,בית שאן,92007,בית שאן,500292008,עירית בית שאן
2610,בית שמש,26104,בית שמש,500226105,עירית בית-שמש
3780,ביתר עילית,37804,ביתר עילית,500237805,עירית ביתר עילית
6100,בני ברק,61002,בני ברק,500261003,עירית בני ברק
1066,"בני עי""ש",10660,"בני עי""ש",500210661,"מ. מ. בני עי""ש"
41,בני שמעון,4100000,בני שמעון,500262415,מ. א. בני שמעון
9800,בנימינה-גבעת עדה*,13524,בנימינה גבעת עדה,500213525,בנימינה-גבעת עדה
1326,"בסמ""ה",13268,"בסמ""ה",500213269,"מ. מ. בסמ""ה"
0944,בסמת טבעון,9449,בסמת טבעון,500209440,מ. מ. בסמת טבעון
0483,בענה,4838,בענה,500204839,מ. מ. ביענה
28,ברנר,2800000,ברנר,500244280,מ. א. ברנר
6200,בת ים,62000,בת ים,500262001,עירית בת-ים
1292,ג'דיידה-מכר,12922,ג'דיידה-מכר,500212923,מ. מ. ג'דיידה מכר
0485,ג'ולס,4853,ג'וליס,500204854,מ. מ. ג'וליס
0627,ג'לג'וליה,6270,ג'לג'וליה,500206271,מ. מ. ג'לג'וליה
0541,ג'סר א-זרקא,5413,ג'סר א-זרקא,500205414,מ. מ. ג'יסר אל זרקא
0487,ג'ש (גוש חלב),4879,גוש חלב,500204870,מ. מ. גוש חלב
0628,ג'ת,6288,ג'ת,500206289,מ. מ. ג'ת
3730,גבעת זאב,37309,גבעת זאב,500237300,מ. מ. גבעת זאב
0681,גבעת שמואל,6817,גבעת שמואל,500206818,עיריית גבעת שמואל
6300,גבעתיים,63008,גבעתיים,500263009,עירית גבעתיים
2550,גדרה,25502,גדרה,500225503,מ. מ. גדרה
32,גדרות,3200000,גדרות,500244322,מ. א. גדרות
71,גולן,7100000,גולן,500229711,מ. א. גולן
76,גוש עציון,7600000,גוש עציון,500276761,מ. א. גוש עציון
30,גזר,3000000,גזר,500243308,מ. א. גזר
0166,גן יבנה,1669,גן יבנה,500201660,מ. מ. גן יבנה
27,גן רווה,2700000,גן רוה,500244272,מ. א. גן רוה
0229,גני תקווה,2295,גני תקוה,500202296,מ. מ. גני תקוה
0494,דאלית אל-כרמל,4945,דאלית אל-כרמל,500204946,מ. מ. דלית אל כרמל
0489,דבורייה,4895,דבוריה,500204896,מ. מ. דבורייה
0490,דייר אל-אסד,4903,דייר אל-אסד,500204904,מ. מ. דיר אל-אסד
0492,דייר חנא,4929,דיר חנא,500204920,מ. מ. דייר-חנא
2200,דימונה,22004,דימונה,500222005,עירית דימונה
20,דרום השרון,2000000,דרום השרון,500242201,מ. א. דרום השרון
08,הגלבוע,800000,הגלבוע,500223086,מ. א. הגלבוע
01,הגליל העליון,100000,הגליל העליון,500221015,מ. א. הגליל העליון
03,הגליל התחתון,300000,הגליל התחתון,500222039,מ. א. הגליל התחתון
9700,הוד השרון,97006,הוד השרון,500297007,עירית הוד השרון
54,הערבה התיכונה,5400000,הערבה התיכונה,500262548,מ. א. הערבה התיכונה
3769,הר אדר,37697,הר-אדר,500237698,מ. מ. הר-אדר
78,הר חברון,7800000,הר חברון,500277785,מ. א. הר חברון
6400,הרצלייה,64006,הרצליה,500264007,עירית הרצליה
12,זבולון,1200000,זבולון,500231121,מ. א. זבולון
9300,זכרון יעקב,93005,זכרון יעקב,500293006,מ. מ. זכרון יעקב
1290,זמר,12906,זמר,500212907,מ. מ. זמר
0975,זרזיר,9753,זרזיר,500209754,מ. מ. זרזיר
53,חבל אילות,5300000,חבל אילות,500262530,מ. א. חבל אילות
29,חבל יבנה,2900000,חבל יבנה,500244298,מ. א. חבל יבנה
25,חבל מודיעין,2500000,חבל מודיעין,500242250,מ. א. חבל מודיעין
6500,חדרה,65003,חדרה,500265004,עירית חדרה
6600,חולון,66001,חולון,500266002,עירית חולון
36,חוף אשקלון,3600000,חוף אשקלון,500261367,מ. א. חוף אשקלון
15,חוף הכרמל,1500000,חוף הכרמל,500232152,מ. א. חוף הכרמל
19,חוף השרון,1900000,חוף השרון,500241195,מ. א. חוף השרון
1303,חורה,13037,חורה,500213038,מ. מ. חורה
0496,חורפיש,4960,חורפיש,500204961,מ. מ. חורפיש
4000,חיפה,40006,חיפה,500240007,עירית חיפה
2034,חצור הגלילית,20347,חצור הגלילית,500220348,מ. מ. חצור הגלילית
1247,חריש,12476,חריש,500212477,מ. מ. חריש
6700,טבריה,67009,טבריה,500267000,עירית טבריה
0962,טובא-זנגרייה,9621,טובא-זנגריה,500209622,מ. מ. טובא-זנגריה
0498,טורעאן,4986,טורעאן,500204987,מ. מ. טורעאן
2730,טייבה,27300,טייבה,500227301,עירית טייבה
2720,טירה,27201,טירה,500227202,עירית אל-טירה
2100,טירת כרמל,21006,טירת כרמל,500221007,עירית טירת כרמל
8900,טמרה,89003,טמרה,500289004,עירית טמרה
1295,יאנוח-ג'ת,12955,ינוח-ג'ת,500212956,מ. מ. ינוח ג'ת
0046,יבנאל,463,יבנאל,500200464,מ. מ. יבנאל
2660,יבנה,26609,יבנה,500226600,עירית יבנה
9400,יהוד,13573,יהוד נווה אפרים,500213574,יהוד מונוסון
35,יואב,3500000,יואב,500261359,מ. א. יואב
0029,יסוד המעלה,299,יסוד המעלה,500200290,מ. מ. יסוד המעלה
0499,יפיע,4994,יפיע,500204995,מ. מ. יפיע
0240,יקנעם עילית,2402,יקנעם עילית,500202403,עירית יקנעם עילית
0831,ירוחם,8318,ירוחם,500208319,מ. מ. ירוחם
3000,ירושלים,30007,ירושלים,500230008,עירית ירושלים
