tax_id,yishuv_name,organization_name
589931187,תל אביב - יפו,אוניברסיטת תל אביב
500701628,חיפה,אוניברסיטת חיפה
580303808,צרעה,תזמורת יד חריף (צרעה)
580503605,נתניה,תזמורת נתניה הקאמרית הקיבוצית
510101819,חיפה,"חברת נכון בע""מ (חיפה)"
589120880,תל אביב - יפו,המרכז לאמנות יהודית רוסית (תל אביב)
511854788,רמת נגב,מתנ"ס רמת נגב
512103383,ראשון לציון,תאטרון ענתות (ראשון לציון)
510021298,,"סול בע""מ (לא ידוע)"
501501183,חברון,ועדה מוניציפאלית חברון
510318652,תל אביב - יפו,"מקיצי נרדמים בע""מ (תל אביב)"
510550767,חיפה,לאובק חיפה
500217229,מגדל תפן,מגדל תפן
580409449,יהוד-מונוסון,עמותת יוצאי טורקיה בישראל (יהוד-מונוסון)
510356777,תל אביב - יפו,המכון לתרגום ספרות עברית (תל אביב)
580270858,חולון,פורום עולים ידידות (חולון)
510497464,תל אביב - יפו,"התאטרון הפתוח בע""מ (תל אביב)"
580374270,תל אביב - יפו,אמנות המשחק לתיאטרון ולקולנוע
580070845,ירושלים,מרכז זלמן שזר (ירושלים)
580510097,תל אביב - יפו,להקת המחול מוריה קונג (תל אביב)
580520229,תל אביב - יפו,אקס טריטוריה (תל אביב)
580114965,שפרעם,כתב עת אל-שרק (שפרעם)
580373777,הרצליה,אנסמבל תיאטרון הרצליה
500500962,ירושלים,יד יצחק בן-צבי (ירושלים)
580302909,תל אביב - יפו,תאיר - מרכז לתרבות יהודית (תל אביב)
