yishuv_id,yishuv_name
0967,אבו ג'ווייעד (שבט)
0967,Abu Juway'ad
0967,abu juway'ad
0967,ABU JUWAY'AD
0967,Abu juway'ad
0472,אבו גוש
0472,Abu Ghosh
0472,abu ghosh
0472,ABU GHOSH
0472,Abu ghosh
0473,אבו סנאן
0473,Abu Sinan
0473,abu sinan
0473,ABU SINAN
0473,Abu sinan
0935,אבו סריחאן (שבט)
0935,Abu Surayhan
0935,abu surayhan
0935,ABU SURAYHAN
0935,Abu surayhan
0958,אבו עבדון (שבט)
0958,Abu 'Abdun
0958,abu 'abdun
0958,ABU 'ABDUN
0958,Abu 'abdun
1042,אבו עמאר (שבט)
1042,Abu 'Ammar
1042,abu 'ammar
1042,ABU 'AMMAR
1042,Abu 'ammar
0932,אבו עמרה (שבט)
0932,Abu 'Amra
0932,abu 'amra
0932,ABU 'AMRA
0932,Abu 'amra
1342,אבו קורינאת (יישוב)
1342,Abu Qureinat
1342,abu qureinat
1342,ABU QUREINAT
1342,Abu qureinat
0968,אבו קורינאת (שבט)
0968,Abu Kuraynat
0968,abu kuraynat
0968,ABU KURAYNAT
0968,Abu kuraynat
0966,אבו רובייעה (שבט)
0966,Abu Rubay'a
0966,abu rubay'a
0966,ABU RUBAY'A
0966,Abu rubay'a
0961,אבו רוקייק (שבט)
0961,Abu Rukayyek
0961,abu rukayyek
0961,ABU RUKAYYEK
0961,Abu rukayyek
1375,אבו תלול
1375,Abu Tulul
1375,abu tulul
1375,ABU TULUL
1375,Abu tulul
0652,אבטין
0652,Ibtin
0652,ibtin
0652,IBTIN
1275,אבטליון
1275,Avtalyon
1275,avtalyon
1275,AVTALYON
0679,אביאל
0679,Avi'el
0679,avi'el
0679,AVI'EL
1115,אביבים
1115,Avivim
1115,avivim
1115,AVIVIM
0819,אביגדור
0819,Avigedor
0819,avigedor
0819,AVIGEDOR
0175,אביחיל
0175,Avihayil
0175,avihayil
0175,AVIHAYIL
2052,אביטל
2052,Avital
2052,avital
2052,AVITAL
1070,אביעזר
1070,Avi'ezer
1070,avi'ezer
1070,AVI'EZER
1220,אבירים
1220,Abbirim
1220,abbirim
1220,ABBIRIM
0182,אבן יהודה
0182,Even Yehuda
0182,even yehuda
0182,EVEN YEHUDA
0182,Even yehuda
1081,אבן מנחם
1081,Even Menahem
1081,even menahem
1081,EVEN MENAHEM
1081,Even menahem
0783,אבן ספיר
0783,Even Sappir
0783,even sappir
0783,EVEN SAPPIR
0783,Even sappir
0400,אבן שמואל
0400,Even Shemu'el
0400,even shemu'el
0400,EVEN SHEMU'EL
0400,Even shemu'el
4011,אבני איתן
4011,Avne Etan
4011,avne etan
4011,AVNE ETAN
4011,Avne etan
3793,אבני חפץ
3793,Avne Hefez
3793,avne hefez
3793,AVNE HEFEZ
3793,Avne hefez
3786,אבנת
3786,Avenat
3786,avenat
3786,AVENAT
1311,אבשלום
1311,Avshalom
1311,avshalom
1311,AVSHALOM
3759,אדורה
3759,Adora
3759,adora
3759,ADORA
0113,אדירים
0113,Addirim
0113,addirim
0113,ADDIRIM
1068,אדמית
1068,Adamit
1068,adamit
1068,ADAMIT
1123,אדרת
1123,Adderet
1123,adderet
1123,ADDERET
0446,אודים
0446,Udim
0446,udim
0446,UDIM
4010,אודם
4010,Odem
4010,odem
4010,ODEM
1046,אוהד
1046,Ohad
1046,ohad
1046,OHAD
2710,אום אל-פחם
2710,Umm al-Fahm
2710,umm al-fahm
2710,UMM AL-FAHM
2710,Umm al-fahm
2710,Umm Al-Fahm
2024,אום אל-קוטוף
2024,Umm Al-Qutuf
2024,umm al-qutuf
2024,UMM AL-QUTUF
2024,Umm al-qutuf
1358,אום בטין
1358,Umm Batin
1358,umm batin
1358,UMM BATIN
1358,Umm batin
1108,אומן
1108,Omen
1108,omen
1108,OMEN
0680,אומץ
0680,Omez
0680,omez
0680,OMEZ
0031,אופקים
0031,Ofaqim
0031,ofaqim
0031,OFAQIM
1294,אור הגנוז
1294,Or HaGanuz
1294,or haganuz
1294,OR HAGANUZ
1294,Or haganuz
1294,Or Haganuz
0067,אור הנר
0067,Or HaNer
0067,or haner
0067,OR HANER
0067,Or haner
0067,Or Haner
2400,אור יהודה
2400,Or Yehuda
2400,or yehuda
2400,OR YEHUDA
2400,Or yehuda
1020,אור עקיבא
1020,Or Aqiva
1020,or aqiva
1020,OR AQIVA
1020,Or aqiva
0780,אורה
0780,Ora
0780,ora
0780,ORA
1771,אורון
1771,NA
2012,אורות
2012,Orot
2012,orot
2012,OROT
4013,אורטל
4013,Ortal
4013,ortal
4013,ORTAL
0403,אורים
0403,Urim
0403,urim
0403,URIM
0882,אורנים
0882,Oranim
0882,oranim
0882,ORANIM
3760,אורנית
3760,Oranit
3760,oranit
3760,ORANIT
0278,אושה
0278,Usha
0278,usha
0278,USHA
0565,אזור
0565,Azor
0565,azor
0565,AZOR
1852,"אזור אילון מ""א 4"
